     0      4      0
     4      8      0
     8     12      0
    12     16      0
    16     20      0
    20     24      0
    24     28      2
    28     32      0
    32     36      0
    36     40      1
    40     44     20
    44     48     28
    48     52     31
    52     56     35
    56     60     37
    60     64     39
    64     68     41
    68     72     23
    72     76     18
    76     80     13
    80     84      7
    84     88      2
    88     92      1
    92     96      3
    96    100      0
